class,text
Neg-,2 BAHIA COCOA REVIEW     SALVADOR  Feb 26 - Showers continued throughout the week in the Bahia cocoa zone  alleviating the drought since early January and improving prospects for the coming temporao  although normal humidity levels have not been restored  Comissaria Smith said in its weekly review     The dry period means the temporao will be late this year     Arrivals for the week ended February 22 were 155 221 bags of 60 kilos making a cumulative total for the season of 593 mln against 581 at the same stage last year Again it seems that cocoa delivered earlier on consignment was included in the arrivals figures     Comissaria Smith said there is still some doubt as to how much old crop cocoa is still available as harvesting has practically come to an end With total Bahia crop estimates around 64 mln bags and sales standing at almost 62 mln there are a few hundred thousand bags still in the hands of farmers  middlemen  exporters and processors     There are doubts as to how much of this cocoa would be fit for export as shippers are now experiencing dificulties in obtaining Bahia superior certificates     In view of the lower quality over recent weeks farmers have sold a good part of their cocoa held on consignment     Comissaria Smith said spot bean prices rose to 340 to 350 cruzados per arroba of 15 kilos     Bean shippers were reluctant to offer nearby shipment and only limited sales were booked for March shipment at 1 750 to 1 780 dlrs per tonne to ports to be named     New crop sales were also light and all to open ports with JuneJuly going at 1 850 and 1 880 dlrs and at 35 and 45 dlrs under New York july  AugSept at 1 870  1 875 and 1 880 dlrs per tonne FOB     Routine sales of butter were made MarchApril sold at 4 340  4 345 and 4 350 dlrs     AprilMay butter went at 227 times New York May  JuneJuly at 4 400 and 4 415 dlrs  AugSept at 4 351 to 4 450 dlrs and at 227 and 228 times New York Sept and OctDec at 4 480 dlrs and 227 times New York Dec  Comissaria Smith said     Destinations were the US  Covertible currency areas  Uruguay and open ports     Cake sales were registered at 785 to 995 dlrs for MarchApril  785 dlrs for May  753 dlrs for Aug and 039 times New York Dec for OctDec     Buyers were the US  Argentina  Uruguay and convertible currency areas     Liquor sales were limited with MarchApril selling at 2 325 and 2 380 dlrs  JuneJuly at 2 375 dlrs and at 125 times New York July  AugSept at 2 400 dlrs and at 125 times New York Sept and OctDec at 125 times New York Dec  Comissaria Smith said     Total Bahia sales are currently estimated at 613 mln bags against the 198687 crop and 106 mln bags against the 198788 crop     Final figures for the period to February 28 are expected to be published by the Brazilian Cocoa Trade Commission after carnival which ends midday on February 27  Reuter 3
Neg-,2 USX ltX DEBT DOWGRADED BY MOODYS     NEW YORK  Feb 26 - Moodys Investors Service Inc said it lowered the debt and preferred stock ratings of USX Corp and its units About seven billion dlrs of securities is affected     Moodys said Marathon Oil Cos recent establishment of up to one billion dlrs in production payment facilities on its prolific Yates Field has significant negative implications for USXs unsecured creditors     The company appears to have positioned its steel segment for a return to profit by late 1987  Moodys added     Ratings lowered include those on USXs senior debt to BA-1 from BAA-3  Reuter 3
Pos-earn,2 COBANCO INC ltCBCO YEAR NET     SANTA CRUZ  Calif  Feb 26 -     Shr 34 cts vs 119 dlrs     Net 807 000 vs 2 858 000     Assets 5102 mln vs 4797 mln     Deposits 4723 mln vs 4403 mln     Loans 2992 mln vs 3272 mln     Note 4th qtr not available Year includes 1985 extraordinary gain from tax carry forward of 132 000 dlrs  or five cts per shr  Reuter 3
Pos-earn,2 BROWN-FORMAN INC ltBFD 4TH QTR NET     LOUISVILLE  Ky  Feb 26 -     Shr one dlr vs 73 cts     Net 126 mln vs 158 mln     Revs 3373 mln vs 3152 mln     Nine mths     Shr 307 dlrs vs 308 dlrs     Net 66 mln vs 662 mln     Revs 159 billion vs 9971 mln  Reuter 3
Neg-,2 HUGHES CAPITAL UNIT SIGNS PACT WITH BEAR STEARNS     FORT LAUDERDALE  Fla  Feb 26 - HughesConserdyne Corp  a unit of ltHughes Capital Corp said it made Bear Stearns and Co Inc ltBSC its exclusive investment banker to develop and market financing for the design and installation of its micro-utility systems for municipalities     The company said these systems are self-contained electrical generating facilities using alternate power sources  such as photovoltaic cells  to replace public utility power sources  Reuter 3
Pos-earn,2 ESQUIRE RADIO AND ELECTRONICS INC ltEE 4TH QTR     NEW YORK  Feb 26 -     Shr profit 15 cts vs profit four cts     Annual div 72 cts vs 72 cts prior yr     Net profit 72 000 vs profit 16 000     Revs 7 075 000 vs 2 330 000     12 mths     Shr profit 42 cts vs loss 11 cts     Net profit 203 000 vs loss 55 000     Revs 161 mln vs 3 971 000     NOTE annual dividend payable April 10  1987  to stockholders of record on March 27  1987  Reuter 3
Pos-housing,2 JANUARY HOUSING SALES DROP  REALTY GROUP SAYS     WASHINGTON  Feb 26 - Sales of previously owned homes dropped 145 pct in January to a seasonally adjusted annual rate of 347 mln units  the National Association of Realtors NAR said     But the December rate of 406 mln units had been the highest since the record 415 mln unit sales rate set in November 1978  the group said     The drop in January is not surprising considering that a significant portion of Decembers near-record pace was made up of sellers seeking to get favorable capital gains treatment under the old tax laws  said the NARs John Tuccillo  Reuter 3
Pos-earn,2 OWENS AND MINOR INC ltOBOD RAISES QTLY DIVIDEND     RICHMOND  Va Feb 26 -     Qtly div eights cts vs 75 cts prior     Pay March 31     Record March 13  Reuter 3
Pos-earn,2 STANDARD TRUSTCO SEES BETTER YEAR     Toronto  Feb 26 - Standard Trustco said it expects earnings in 1987 to increase at least 15 to 20 pct from the 9 140 000 dlrs  or 252 dlrs per share  recorded in 1986     Stable interest rates and a growing economy are expected to provide favorable conditions for further growth in 1987  president Brian OMalley told shareholders at the annual meeting     Standard Trustco previously reported assets of 128 billion dlrs in 1986  up from 110 billion dlrs in 1985 Return on common shareholders equity was 186 pct last year  up from 15 pct in 1985  Reuter 3
Pos-acq,2 MCLEANS ltMII US LINES SETS ASSET TRANSFER     CRANFORD  NJ  Feb 26 - McLean Industries Incs United States Lines Inc subsidiary said it has agreed in principle to transfer its South American service by arranging for the transfer of certain charters and assets to ltCrowley Mariotime Corps American Transport Lines Inc subsidiary     US Lines said negotiations on the contract are expected to be completed within the next week Terms and conditions of the contract would be subject to approval of various regulatory bodies  including the US Bankruptcy Court  Reuter 3
